ID	ENG (Original)	RUS (Dontaz v2.9)	note
6758A9AB4F12EB10423C2FAF8244B55A	"Ella ""Butcher's Tail"" Bergström - Vocals"	"Ella ""Butcher's Tail"" Bergström - Вокал"	
1F83B36E40536330B1EF4F84DA986D6C	Even the sun seemed tired, and she had all the rocks she needed, so she decided to treat herself to a long nap.	Даже солнце казалось измождённым, она уже собрала все нужные камни, потому решила позволить себе роскошь долгого сна.	
72DD9365418460D7B21B16B0267F2C15	Is it coming from the cave? Oh how should I know?	Она доносится из пещеры? Ах, откуда мне знать?	
6B958D9244D106C996CB50978476D619	It picks up the phone on the other side, but it doesn’t speak back,	Она поднимает трубку на другом конце, но молчит в ответ,	
8CB9C63C45CAC976373F219056D79D17	It picks up the phone on the other side, but it doesn’t speak back,	Она поднимает трубку на другом конце, но молчит в ответ,	
D89B567C4E357D1E7022CBB399AA94A9	Like taking off a tight shoe, laying bare one’s feet	Словно сбросить тесный башмак, обнажив босые ступни	
1200ACAD4092DD7443AAABA7B93E3514	She had awoken anxiously this time, feeling misplaced and confused.	В этот раз она пробудилась в тревоге, чувствуя себя потерянной и растерянной.	
39B82E6D46FF78560BFD64B9E1338500	The anger kept us warm, but only for a spell…	Гнев согревал нас, но лишь на краткий миг…	
00CAA2824A55B30BCAAD5FA4580E4035	Then, out of nowhere came another boat that bumped into his.	Затем, словно из ниоткуда, появилась другая лодка, что стукнулась о его.	
8A8CEE87486242EF7DF75D986FA2DA12	it’s cold now... But it doesn’t matter.	сейчас холодно... Но это уже не имеет значения.	
EF6322FF4BA9CCCC9A1BBFAAA6D241F5	to simply put one foot in front of the other.	просто ставить одну ногу перед другой.	
BBF86EAA467D6470BDD9EEA6D1624365	turnin’ the thief’s sky as black as a cuppa joe...	окрашивая небо воровки в черноту, как чашка кофе...	
BE9434954718D53F1CF580B99EBA0845	who were now left defenseless without their bodies.	которые стали беззащитными без своих тел.	
FF7D6CC94CE06D3D6A4966ACD926DD8D	‘Oh there’s nothing to it really. I go into the dark woods,'	"""О, в этом нет ничего особенного. Я просто ухожу в тёмные леса,"""	
126AA208435EC61E40E6EDBBCE6D01A9	‘When dealing with a troubled and troublesome Molgrim'	"""Когда имеешь дело с Молгримом — беде подвластным и для всех опасным"""	
4DEC60334AC563B952A488A9D4CD5695	‘how do you make such perfect sculptures?’ To which he replied:	"""как тебе удаётся создавать такие совершенные скульптуры?"" На что он ответил:"	
11C1AA414125BF1173CCB7A8242444CB	Gräns	Gräns (Граница)	
C042D4444E9D9D6218E03C98EF669060	'...it is hollow.'	"""...он пуст."""	
E5A4A3124EDEDFAB57E983BC25F2F398	'...live!'	"""…оживи!"""	
D89719A348778C734D8A71B5F3B966BC	'...my heart still has fire.'	"""...в моём сердце ещё горит огонь."""	
9A4C8F1B4B38BC55BB2CE9912A87C648	'...my sun.'	"""...моё солнце."""	
1E53AF8D40D5A7183C98A49DD0585035	'But the day of the dark shall come in the guise of a thief...'	"""Но день тьмы придёт в облике воровки..."""	
D37AAC54433E47B54B59359EE7EB4E9C	'By the fire of my heart...'	"""Пламенем моего сердца..."""	
75B58B124F7CBE2228AE58A9F3BA8716	'Cause it's the best stick in the whole world!	"""Потому что это лучшая палка во всём мире!"""	
F40A85E14EDA4B5D2D930EA99ECC244F	'Come, kitty kitty, you must be tired.'	"""Иди сюда, киса-киса, ты, должно быть, устала."""	
7B63E8184E13ABCD51E8A0A2945B4E12	'Daughter. Why?'	"""Дочь. Почему?"""	
6904925840EEA96778DB0FB273418091	'Don't leave me in the dark!'	"""Не оставляй меня во тьме!"""	
8703F09D4D05F636A9A8F6B50C403D9C	'Gone are the bodies of old, and they can no longer shield us from the terrors…’	"""Исчезли прежние тела, и они больше не могут защитить нас от ужасов..."""	
