"Ella ""Butcher's Tail"" Bergstr?m - Vocals"	"Ella ""Butcher's Tail"" Bergstr?m - Вокал"				
Even the sun seemed tired, and she had all the rocks she needed, so she decided to treat herself to a long nap.	Даже солнце казалось измождённым, она уже собрала все нужные камни, потому решила позволить себе роскошь долгого сна.				
Is it coming from the cave? Oh how should I know?	Она доносится из пещеры? Ах, откуда мне знать?				
It picks up the phone on the other side, but it doesn’t speak back,	Она поднимает трубку на другом конце, но молчит в ответ,				
It picks up the phone on the other side, but it doesn’t speak back,	Она поднимает трубку на другом конце, но молчит в ответ,				
Like taking off a tight shoe, laying bare one’s feet	Словно сбросить тесный башмак, обнажив босые ступни				
She had awoken anxiously this time, feeling misplaced and confused.	В этот раз она пробудилась в тревоге, чувствуя себя потерянной и растерянной.				
The anger kept us warm, but only for a spell…	Гнев согревал нас, но лишь на время…				
Then, out of nowhere came another boat that bumped into his.	Затем, словно из ниоткуда, появилась другая лодка, что стукнулась о его.				
it’s cold now... But it doesn’t matter.	сейчас холодно... Но это уже не имеет значения.				
to simply put one foot in front of the other.	просто ставить одну ногу перед другой.				
turnin’ the thief’s sky as black as a cuppa joe...	окрашивая небо воровки в черноту, как чашка кофе...				
who were now left defenseless without their bodies.	которые стали беззащитными без своих тел.				
‘Oh there’s nothing to it really. I go into the dark woods,'	"""О, в этом нет ничего особенного. Я просто ухожу в тёмные леса,"""				
‘When dealing with a troubled and troublesome Molgrim'	"""Когда имеешь дело с встревоженным и проблемным Молгримом"""				
‘how do you make such perfect sculptures?’ To which he replied:	"""как тебе удаётся создавать такие совершенные скульптуры?"" На что он ответил:"				
"""Gr?ns"""	"""Gr?ns (Граница)"""				
'...it is hollow.'	"""...он пуст."""				
'...live!'	"""…оживи!"""				
'...my heart still has fire.'	"""...в моём сердце ещё горит огонь."""				
'...my sun.'	"""...моё солнце."""				
'But the day of the dark shall come in the guise of a thief...'	"""Но день тёмный придёт в обличье воровки..."""				
'By the fire of my heart...'	"""Пламенем моего сердца..."""				
'Cause it's the best stick in the whole world!	"""Потому что это лучшая палка во всём мире!"""				
'Come, kitty kitty, you must be tired.'	"""Иди сюда, киса-киса, ты, должно быть, устала."""				
'Daughter. Why?'	"""Дочь. Почему?"""				
'Don't leave me in the dark!'	"""Не оставляй меня во тьме!"""				
'Gone are the bodies of old, and they can no longer shield us from the terrors…’	"""Исчезли прежние тела, и они больше не могут защитить нас от ужасов..."""				
'Here I shall create my masterpiece.'	"""Здесь я создам свой шедевр."""				
'I find the sculpture already waiting inside a tree...'	"""Я нахожу скульптуру, которая уже таится внутри дерева..."""				
'I know you Crawlers eat fire for dinner. Did you eat it?'	"""Я знаю, вы — Ползуны — едите огонь на ужин. Это вы его съели?"""				
'Is that the Murkle I see? Another decade, another teacup, eh?' he chuckled,	"""Неужели я вижу Мёркл? Ещё одно десятилетие, ещё одна чашка чая, а?"" усмехнулся он,"				
'It wasn’t you?' the Murkle retorted. 'You’re its complete opposite - surely you must be the reason it’s gone!'	"""Это была не ты?"" парировала Мёркл. ""Ты — его полная противоположность, наверняка ты и есть причина его исчезновения!"""				
'It's easy to lose one’s head… when everything you love'	"""Легко потерять голову... когда всё, что ты любишь"""				
'Its skin is coarse,' said one. 'No, its ears are big.' exclaimed another.	"""Его кожа шершава,"" сказал один. ""Нет, у него большие уши,"" воскликнул другой."				
'Light is because I am. How could I possibly hold it in my possession?'	"""Свет существует, потому что существую я. Как я могу владеть им?"""				
'Lo and behold, the Molgrim!' she thought to herself in slack-jawed awe.	"""Ого, Молгрим!"" подумала она про себя с отвисшей от изумления челюстью."				
